"SystemName","GroupName","FieldNum","FieldName","FieldValue","Emulate"
"SAB MILLER                    ","2","1","IOTPUT[0]                                                                                                                                                                                                                                                       ","4.09600000E+03 5.79750000E+03 2.85750000E+03                                                                                                                                                                                                                    ","Y"
"SAB MILLER                    ","2","2","IOTPUT[1]                                                                                                                                                                                                                                                       ","8.19200000E+03 5.79750000E+03 2.85750000E+03                                                                                                                                                                                                                    ","Y"
"SAB MILLER                    ","2","3","IOTPUT[2]                                                                                                                                                                                                                                                       ","1.63840000E+04 5.65500000E+03 2.82000000E+03                                                                                                                                                                                                                    ","Y"
"SAB MILLER                    ","2","4","IOTPUT[3]                                                                                                                                                                                                                                                       ","3.27680000E+04 5.52750000E+03 2.76750000E+03                                                                                                                                                                                                                    ","Y"
"SAB MILLER                    ","2","5","IOTPUT[4]                                                                                                                                                                                                                                                       ","6.55360000E+04 5.33250000E+03 2.67750000E+03                                                                                                                                                                                                                    ","Y"
"SAB MILLER                    ","2","6","IOTPUT[5]                                                                                                                                                                                                                                                       ","1.31072000E+05 4.98000000E+03 2.52000000E+03                                                                                                                                                                                                                    ","Y"
"SAB MILLER                    ","2","7","CIBLOCKSIZE                                                                                                                                                                                                                                                     ","1.22880000E+04                                                                                                                                                                                                                                                  ","Y"
"SAB MILLER                    ","2","8","CYLINDERSIZE                                                                                                                                                                                                                                                    ","1.95788800E+06                                                                                                                                                                                                                                                  ","Y"
"SAB MILLER                    ","2","9","CYLINDERFILLFACTOR                                                                                                                                                                                                                                              ","7.50000000E-01                                                                                                                                                                                                                                                  ","Y"
"SAB MILLER                    ","2","10","OPTSPOOLLIMITPCT                                                                                                                                                                                                                                                ","0.00000000E+00                                                                                                                                                                                                                                                  ","Y"
"SAB MILLER                    ","2","11","APPLYSPOOLLIMIT                                                                                                                                                                                                                                                 ","0                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","12","USEACTUALBLOCKSIZE                                                                                                                                                                                                                                              ","1                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","13","OPTMAXROWIDSINDEX                                                                                                                                                                                                                                               ","8.03000000E+03                                                                                                                                                                                                                                                  ","Y"
"SAB MILLER                    ","2","14","OPTMAXBLDKEYSIZE                                                                                                                                                                                                                                                ","1.00000000E+03                                                                                                                                                                                                                                                  ","Y"
"SAB MILLER                    ","2","15","OPTSPOOLLIMITPOLY                                                                                                                                                                                                                                               ","0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00                                                                                                                                                                       ","Y"
"SAB MILLER                    ","2","16","CACHEABLEBLOCKS                                                                                                                                                                                                                                                 ","10                                                                                                                                                                                                                                                              ","Y"
"SAB MILLER                    ","2","17","CONDITIONCOSTING                                                                                                                                                                                                                                                ","1                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","18","GROUPAMPPISAMPLING                                                                                                                                                                                                                                              ","0                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","19","LEGACYJOINCARDDEFAULT                                                                                                                                                                                                                                           ","0                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","20","LIKEESTPARTIALINTRATIO                                                                                                                                                                                                                                          ","1.25000000E-01                                                                                                                                                                                                                                                  ","Y"
"SAB MILLER                    ","2","21","RASHISTDEVIATIONPCT                                                                                                                                                                                                                                             ","1.00000000E+01                                                                                                                                                                                                                                                  ","Y"
"SAB MILLER                    ","2","22","REVERTESTIMATIONLOGIC                                                                                                                                                                                                                                           ","0                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","23","REVERTSKEWADJUST                                                                                                                                                                                                                                                ","0                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","24","CONSTRSCANAXPATH                                                                                                                                                                                                                                                ","0                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","25","OCSDEBUG                                                                                                                                                                                                                                                        ","2                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","26","SOFTUNIQUEPCT                                                                                                                                                                                                                                                   ","9.50000000E+01                                                                                                                                                                                                                                                  ","Y"
"SAB MILLER                    ","2","27","PREJCOST                                                                                                                                                                                                                                                        ","1                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","28","ESTWITHSINGLEROWOPT                                                                                                                                                                                                                                             ","1                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","29","ENABLESESSLEVELDRVSTATS                                                                                                                                                                                                                                         ","1                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","30","ASSUMEDPIUNIQUEPCT                                                                                                                                                                                                                                              ","7.50000000E+01                                                                                                                                                                                                                                                  ","Y"
"SAB MILLER                    ","2","31","MAXSTATSINTERVAL                                                                                                                                                                                                                                                ","250                                                                                                                                                                                                                                                             ","Y"
"SAB MILLER                    ","2","32","EXTRAPOLATESTATISTICS                                                                                                                                                                                                                                           ","0                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","33","BLOCKFILLFACTOR                                                                                                                                                                                                                                                 ","7.50000000E-01 1.00000000E+00 7.50000000E-01                                                                                                                                                                                                                    ","Y"
"SAB MILLER                    ","2","34","JOINCARDSKEWADJ                                                                                                                                                                                                                                                 ","1                                                                                                                                                                                                                                                               ","Y"
