"ProfileId","ProfileCat","ConstId","ConstVal","ConstString"
"38","F","10002","49152",""
"17","F","17","2169",""
"7","F","17","1326",""
"0","F","1","33",""
"38","F","10003","1000",""
"17","F","18","2075",""
"7","F","18","1210",""
"0","F","2","98500",""
"38","F","10004","8030",""
"17","F","19","1841",""
"7","F","19","1040",""
"0","F","3","261",""
"38","F","10005","12",""
"17","F","20","1339",""
"7","F","20","734",""
"0","F","4","49152",""
"38","F","10006","131072",""
"17","F","21","811",""
"7","F","21","367",""
"0","F","5","1000",""
"38","F","10007","49152",""
"17","F","22","511",""
"7","F","22","184",""
"0","F","6","8030",""
"38","F","10060","33",""
"17","F","23","1790",""
"7","F","23","324",""
"0","F","7","37",""
"38","F","10061","98500",""
"17","F","24","1722",""
"7","F","24","300",""
"0","F","8","1641",""
"38","F","10062","261",""
"17","F","25","1614",""
"7","F","25","259",""
"0","F","9","242",""
"38","F","10063","37",""
"17","F","26","1239",""
"7","F","26","197",""
"0","F","10","73389",""
"38","F","10064","1641",""
"17","F","27","754",""
"7","F","27","99",""
"0","F","11","409",""
"38","F","10065","242",""
"17","F","28","413",""
"7","F","28","49",""
"0","F","12","27139",""
"38","F","10066","73389",""
"34","F","10008","2169",""
"22","F","10020","18500",""
"0","F","13","12",""
"38","F","10067","409",""
"34","F","10009","2075",""
"22","F","10021","14000",""
"0","F","14","131072",""
"38","F","10068","27139",""
"34","F","10010","1841",""
"22","F","10022","10000",""
"0","F","15","27139",""
"38","F","10069","27139",""
"34","F","10011","1339",""
"22","F","10023","4300",""
"0","F","16","49152",""
"38","F","10100","0",""
"34","F","10012","811",""
"22","F","10024","1300",""
"19","F","17","1120",""
"38","F","10101","0",""
"34","F","10013","511",""
"22","F","10025","340",""
"19","F","18","1020",""
"38","F","10102","0.000054410000000000002524751241406164581349003128707408905029296875",""
"34","F","10014","1790",""
"22","F","10026","18500",""
"19","F","19","920",""
"38","F","10103","0",""
"34","F","10015","1722",""
"22","F","10027","14000",""
"19","F","20","775",""
"38","F","10104","200",""
"34","F","10016","1614",""
"22","F","10028","10000",""
"19","F","21","540",""
"38","F","10105","0.00011270000000000000178225489921857160879881121218204498291015625",""
"34","F","10017","1239",""
"22","F","10029","4300",""
"19","F","22","325",""
"38","F","10106","1.165999999999999902634719760124125398359495875411084853112697601318359375E-10",""
"34","F","10018","754",""
"22","F","10030","1300",""
"19","F","23","740",""
"38","F","10107","0.00012860000000000000879192552094565371589851565659046173095703125",""
"34","F","10019","413",""
"22","F","10031","340",""
"19","F","24","650",""
"38","F","10108","0.00000278299999999999986665245692296632995521576958708465099334716796875",""
"13","F","17","4410",""
"39","F","10020","200106",""
"19","F","25","560",""
"38","F","10109","138",""
"13","F","18","4230",""
"39","F","10021","181510",""
"19","F","26","445",""
"38","F","10110","-0.000096340000000000002564927437109787433655583299696445465087890625",""
"13","F","19","4050",""
"39","F","10022","140660",""
"19","F","27","290",""
"38","F","10111","0.000003362999999999999819230538100622851516163791529834270477294921875",""
"13","F","20","3730",""
"39","F","10023","74022",""
"19","F","28","170",""
"38","F","10112","0.000404700000000000024991120284312273724935948848724365234375",""
"13","F","21","2890",""
"39","F","10024","25569",""
"36","F","10004","8030",""
"38","F","10113","0.000017560000000000001280607564435598533236770890653133392333984375",""
"13","F","22","2160",""
"39","F","10025","7066",""
"36","F","10006","131072",""
"38","F","10114","1049000",""
"13","F","23","2480",""
"39","F","10026","200106",""
"36","F","10007","49152",""
"38","F","10115","0.00020000000000000000958434720477185919662588275969028472900390625",""
"13","F","24","2420",""
"39","F","10027","181510",""
"36","F","10060","33",""
"38","F","10116","0.0000015000000000000000380012861456169304119612206704914569854736328125",""
"13","F","25","2360",""
"39","F","10028","140660",""
"36","F","10062","261",""
"38","F","10117","0.0003711000000000000214293860434366933986893855035305023193359375",""
"13","F","26","2170",""
"39","F","10029","74022",""
"36","F","10063","37",""
"38","F","10118","0.000001422999999999999970546672202476035096196937956847250461578369140625",""
"13","F","27","1780",""
"39","F","10030","25569",""
"36","F","10064","1641",""
"38","F","10119","4.7879999999999997282768178508138845472785760648548603057861328125E-7",""
"13","F","28","1240",""
"39","F","10031","7066",""
"36","F","10065","242",""
"38","F","10120","4.7879999999999997282768178508138845472785760648548603057861328125E-7",""
"32","F","10008","8900",""
"37","F","10002","49152",""
"36","F","10066","73389",""
"38","F","10121","0.00097689999999999994721722185175849517690949141979217529296875",""
"32","F","10009","8540",""
"37","F","10003","1000",""
"36","F","10067","409",""
"38","F","10122","0.119400000000000006128431095930864103138446807861328125",""
"32","F","10010","8180",""
"37","F","10004","8030",""
"36","F","10068","27139",""
"38","F","10123","0.8604000000000000536459765498875640332698822021484375",""
"32","F","10011","7350",""
"37","F","10005","12",""
"36","F","10100","0",""
"38","F","10124","0.40220000000000000195399252334027551114559173583984375",""
"32","F","10012","5000",""
"37","F","10006","131072",""
"36","F","10101","0",""
"38","F","10125","0.00015669999999999998708567761074306190494098700582981109619140625",""
"32","F","10013","2730",""
"37","F","10007","49152",""
"36","F","10102","0.000086299999999999997047674116235072006020345725119113922119140625",""
"38","F","10126","0.38429999999999997495336856445646844804286956787109375",""
"32","F","10014","5020",""
"37","F","10060","33",""
"36","F","10103","4.1700000000000000756665500858933436079123424633507966063916683197021484375E-10",""
"38","F","10127","0.00119699999999999993037513856819487045868299901485443115234375",""
"32","F","10015","4880",""
"37","F","10061","98500",""
"36","F","10104","200",""
"38","F","10128","0.000116499999999999999280957119207613459366257302463054656982421875",""
"32","F","10016","4740",""
"37","F","10062","261",""
"36","F","10105","0.0005330000000000000535960165137794319889508187770843505859375",""
"38","F","10129","0.715899999999999980815346134477294981479644775390625",""
"32","F","10017","4310",""
"37","F","10063","37",""
"36","F","10106","-1.26999999999999995708848079980883560846649515951867215335369110107421875E-9",""
"38","F","10130","0.00015200000000000000836830604811211742344312369823455810546875",""
"32","F","10018","2470",""
"37","F","10064","1641",""
"36","F","10107","0.0002739999999999999922596638501914867447339929640293121337890625",""
"38","F","10131","0.499800000000000022026824808563105762004852294921875",""
"32","F","10019","1240",""
"37","F","10065","242",""
"36","F","10108","0.00000353999999999999998803908163313991508402978070080280303955078125",""
"38","F","10132","0",""
"11","F","17","3780",""
"37","F","10066","73389",""
"36","F","10109","140",""
"38","F","10133","0",""
"11","F","18","3570",""
"37","F","10067","409",""
"36","F","10110","0.00001599999999999999927596978921418013896982301957905292510986328125",""
"38","F","10134","0.00119699999999999993037513856819487045868299901485443115234375",""
"11","F","19","3360",""
"37","F","10068","27139",""
