"ProfileTypeId","ConstId","ConstName","ConstCat","ConstVal","ConstString","ConstDesc"
"2","10001","OptProperties                                                   ","I","0","","ConstString field contains properties definition string."
"1","1","OptBitInst                                                      ","I","33","","Defines the path length to check (or set) bit map given a row ID. Value in instructions/operation."
"2","10002","OptIndexBlockSize                                               ","I","49152","","Assumed block size for index subtable IOs. Value is in bytes."
"1","2","OptBMAndRowInst                                                 ","I","98500","","Defines the path length to AND two bit maps, each the size of a single bitmap row. Current size of bitmap row is 16KB. Value in instructions/operation."
"2","10003","OptMaxBldKeySize                                                ","I","1000","","Defines the maximum size of a key that can be built for a nested join. Value is in bytes."
"1","3","OptCharFieldInst                                                ","I","261","","Defines the path length to build a one character field. Value in instructions/field."
"2","10004","OptMaxRowIdSIndex                                               ","I","8030","","Defines the average number of row ids in a secondary index row."
"1","4","OptIndexBlockSize                                               ","I","49152","","Assumed block size for index subtable IOs. Value is in bytes."
"2","10005","OptRowidSize                                                    ","I","12","","Defines the size of each entry in a RowID list. Value is in bytes"
"1","5","OptMaxBldKeySize                                                ","I","1000","","Defines the maximum size of a key that can be built for a nested join. Value is in bytes."
"2","10006","OptSpoolBlockSize                                               ","I","131072","","Assumed block size for spool file IOs. Value is in bytes."
"1","6","OptMaxRowIdSIndex                                               ","I","8030","","Defines the average number of row ids in a secondary index row."
"2","10007","OptTableBlockSize                                               ","I","49152","","Assumed block size for table IOs. Value is in bytes."
"1","7","OptNumFieldInst                                                 ","I","37","","Defines the path length to build one numeric field. Value in instructions/field."
"2","10008","ArrayRead4k                                                     ","I","1120","","Disk array access rate, number of 4k (bytes) block reads per second."
"1","8","OptOutputRowInst                                                ","I","1641","","Defines the path length of the overhead to build an output row. Value in instructions/row."
"2","10009","ArrayRead8k                                                     ","I","1020","","Disk array access rate, number of 8k (bytes) block reads per second."
"1","9","OptOvhdOfRowCompInst                                            ","I","242","","Defines the path length of the row comparison overhead during sorting. Value in instructions/operation."
"2","10010","ArrayRead16k                                                    ","I","920","","Disk array access rate, number of 16k (bytes) block reads per second."
"1","10","OptRedistributeInst                                             ","I","73389","","Defines the path length for redistributing a row. Value in instructions/row."
"2","10011","ArrayRead32k                                                    ","I","775","","Disk array access rate, number of 32k (bytes) block reads per second."
"1","11","OptRowAccessInst                                                ","I","409","","Defines the path length for accessing a row in memory. Value in instructions/row."
"2","10012","ArrayRead64k                                                    ","I","540","","Disk array access rate, number of 64k (bytes) block reads per second."
"1","12","OptRowIdInst                                                    ","I","27139","","Defines the path length for accessing a row thru a RowID list. Value in instructions/row."
"2","10013","ArrayRead128k                                                   ","I","325","","Disk array access rate, number of 128k (bytes) block reads per second."
"1","13","OptRowidSize                                                    ","I","12","","Defines the size of each entry in a RowID list. Value is in bytes"
"2","10014","ArrayWrite4k                                                    ","I","740","","Disk array access rate, number of 4k (bytes) block writes per second."
"1","14","OptSpoolBlockSize                                               ","I","131072","","Assumed block size for spool file IOs. Value is in bytes."
"2","10015","ArrayWrite8k                                                    ","I","650","","Disk array access rate, number of 8k (bytes) block writes per second."
"1","15","OptSynonymInst                                                  ","I","27139","","Defines the path length for accessing a row by using an index. Value in instructions/synonym/row."
"2","10016","ArrayWrite16k                                                   ","I","560","","Disk array access rate, number of 16k (bytes) block writes per second."
"1","16","OptTableBlockSize                                               ","I","49152","","Assumed block size for table IOs. Value is in bytes."
"2","10017","ArrayWrite32k                                                   ","I","445","","Disk array access rate, number of 32k (bytes) block writes per second."
"1","17","ArrayRead4k                                                     ","I","1120","","Disk array access rate, number of 4k (bytes) block reads per second."
"2","10018","ArrayWrite64k                                                   ","I","290","","Disk array access rate, number of 64k (bytes) block writes per second."
"1","18","ArrayRead8k                                                     ","I","1020","","Disk array access rate, number of 8k (bytes) block reads per second."
"2","10019","ArrayWrite128k                                                  ","I","170","","Disk array access rate, number of 128k (bytes) block writes per second."
"1","19","ArrayRead16k                                                    ","I","920","","Disk array access rate, number of 16k (bytes) block reads per second."
"2","10020","Mono0Bytes                                                      ","I","100000","","Network access rate, number of 0 byte messages to a single node per second."
"1","20","ArrayRead32k                                                    ","I","775","","Disk array access rate, number of 32k (bytes) block reads per second."
"2","10021","Mono100Bytes                                                    ","I","91220","","Network access rate, number of 100 byte messages to a single node per second."
"1","21","ArrayRead64k                                                    ","I","540","","Disk array access rate, number of 64k (bytes) block reads per second."
"2","10022","Mono400Bytes                                                    ","I","72201","","Network access rate, number of 400 byte messages to a single node per second."
"1","22","ArrayRead128k                                                   ","I","325","","Disk array access rate, number of 128k (bytes) block reads per second."
"2","10023","Mono1600Bytes                                                   ","I","39369","","Network access rate, number of 1600 byte messages to a single node per second."
"1","23","ArrayWrite4k                                                    ","I","740","","Disk array access rate, number of 4k (bytes) block writes per second."
"2","10024","Mono6400Bytes                                                   ","I","13966","","Network access rate, number of 6400 byte messages to a single node per second."
"1","24","ArrayWrite8k                                                    ","I","650","","Disk array access rate, number of 8k (bytes) block writes per second."
"2","10025","Mono25600Bytes                                                  ","I","3900","","Network access rate, number of 25600 byte messages to a single node per second."
"1","25","ArrayWrite16k                                                   ","I","560","","Disk array access rate, number of 16k (bytes) block writes per second."
"2","10026","Multi0Bytes                                                     ","I","100000","","Network access rate, number of 0 byte messages to multiple nodes (broadcast) per second."
"1","26","ArrayWrite32k                                                   ","I","445","","Disk array access rate, number of 32k (bytes) block writes per second."
"2","10027","Multi100Bytes                                                   ","I","91220","","Network access rate, number of 100 byte messages to multiple nodes (broadcast) per second."
"1","27","ArrayWrite64k                                                   ","I","290","","Disk array access rate, number of 64k (bytes) block writes per second."
"2","10028","Multi400Bytes                                                   ","I","72201","","Network access rate, number of 400 byte messages to multiple nodes (broadcast) per second."
"1","28","ArrayWrite128k                                                  ","I","170","","Disk array access rate, number of 128k (bytes) block writes per second."
"2","10029","Multi1600Bytes                                                  ","I","39369","","Network access rate, number of 1600 byte messages to multiple nodes (broadcast) per second."
"1","29","Mono0Bytes                                                      ","I","100000","","Network access rate, number of 0 byte messages to a single node per second."
"2","10030","Multi6400Bytes                                                  ","I","13966","","Network access rate, number of 6400 byte messages to multiple nodes (broadcast) per second."
"1","30","Mono100Bytes                                                    ","I","91220","","Network access rate, number of 100 byte messages to a single node per second."
"2","10031","Multi25600Bytes                                                 ","I","3900","","Network access rate, number of 25600 byte messages to multiple nodes (broadcast) per second."
"1","31","Mono400Bytes                                                    ","I","72201","","Network access rate, number of 400 byte messages to a single node per second."
"2","10032","OptCPUWeight                                                    ","I","1","","CPU cost weighting factor, 1.0 is normal. Larger values increase this factor's weight relative to others at 1.0."
"1","32","Mono1600Bytes                                                   ","I","39369","","Network access rate, number of 1600 byte messages to a single node per second."
"2","10033","OptIOWeight                                                     ","I","1","","IO cost weighting factor, 1.0 is normal. Larger values increase this factor's weight relative to others at 1.0."
"1","33","Mono6400Bytes                                                   ","I","13966","","Network access rate, number of 6400 byte messages to a single node per second."
"2","10034","OptNetWeight                                                    ","I","1","","Network cost weighting factor, 1.0 is normal. Larger values increase this factor's weight relative to others at 1.0."
"1","34","Mono25600Bytes                                                  ","I","3900","","Network access rate, number of 25600 byte messages to a single node per second."
"2","10035","ApplySpoolLimit                                                 ","I","0","","Apply spool space limit heuristics? 0=No, 1=Yes"
"1","35","Multi0Bytes                                                     ","I","100000","","Network access rate, number of 0 byte messages to multiple nodes (broadcast) per second."
"2","10036","UseActualBlockSize                                              ","I","1","","Use actual block size for IO cost? 0=No, 1=Yes"
"1","36","Multi100Bytes                                                   ","I","91220","","Network access rate, number of 100 byte messages to multiple nodes (broadcast) per second."
"2","10037","NumMipsPerCpu                                                   ","I","14","","CPU MIPS (million Cost instructions per second) rating"
"1","37","Multi400Bytes                                                   ","I","72201","","Network access rate, number of 400 byte messages to multiple nodes (broadcast) per second."
"2","10038","NumCpusPerNode                                                  ","I","4","","Number of CPUs per node"
"1","38","Multi1600Bytes                                                  ","I","39369","","Network access rate, number of 1600 byte messages to multiple nodes (broadcast) per second."
"2","10039","NumAmpsPerNode                                                  ","I","15","","Number of AMPs per node"
"1","39","Multi6400Bytes                                                  ","I","13966","","Network access rate, number of 6400 byte messages to multiple nodes (broadcast) per second."
"2","10040","NumNodesPerClique                                               ","I","2","","Number of nodes per clique"
"1","40","Multi25600Bytes                                                 ","I","3900","","Network access rate, number of 25600 byte messages to multiple nodes (broadcast) per second."
"2","10041","NumArrayPerClique                                               ","I","1","","Number of disk arrays per clique "
"1","41","OptRowAccessCost                                                ","C","0","","The CPU cost of accessing a row in memory. Estimated number of milliseconds."
"2","10042","NumNodesTotal                                                   ","I","2","","Number of nodes in the (TPA) system"
"1","42","OptOutputRowCost                                                ","C","0","","The CPU overhead cost for building an output row. Estimated number of milliseconds."
"2","10043","SpoolLimitPercent                                               ","I","100","","Percent of User Allocated Spool Space that is excessive. In units of 1%."
"1","43","OptRedistributeCost                                             ","C","0","","The CPU cost of redistributing a row. Estimated number of milliseconds."
"2","10060","OptBitInst                                                      ","I","33","","Defines the path length to check (or set) bit map given a row ID. Value in instructions/operation."
"1","44","OptSynonymCost                                                  ","C","0","","The CPU cost of accessing a row by using an index. Estimated number of milliseconds."
"2","10061","OptBMAndRowInst                                                 ","I","98500","","Defines the path length to AND two bit maps, each the size of a single bitmap row. Current size of bitmap row is 16KB. Value in instructions/operation."
"1","45","OptRowIDCost                                                    ","C","0","","The CPU cost of accessing a row thru a RowID list. Estimated number of milliseconds."
"2","10062","OptCharFieldInst                                                ","I","261","","Defines the path length to build a one character field. Value in instructions/field."
"1","46","OptBMAndRowCost                                                 ","C","0","","The CPU cost to AND two bit map rows of 16KB each. The bitmap consists of multiple bitmap rows. Estimated number of milliseconds."
